,combination_name,drug_name_1,drug_name_2,snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name,total_cases_md_snomed_drugs,total_cases_md_drugs,relative_frequency_md (y_obs),total_cases_sd_snomed_drug1,total_cases_sd_drug_1,total_cases_sd_snomed_drug2,total_cases_sd_drug_2,bliss_independence (y_pred),bliss_ratio,chi2_obs,chi2_exp,chi2_ratio,chi2,p
19595,epoprostenol & macitentan,epoprostenol,macitentan,397746007,Rhinorrhoea,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders",11,3473,0.00317,23,7134,47,10192,0.00782,0.40537,0.0031773541305603697,0.004056560037088549,0.7832631839564248,0.3654904485916281,0.5454726801987726
19610,epoprostenol & macitentan,epoprostenol,macitentan,397974008,Hypoaesthesia,Paraesthesias and dysaesthesias,Nervous system disorders,7,3473,0.00202,15,7134,20,10192,0.00406,0.49754,0.002019619157530294,0.0020241744260019665,0.9977495672244662,0.0,1.0
19631,epoprostenol & macitentan,epoprostenol,macitentan,409623005,Respiratory failure,Respiratory failures (excl neonatal),"Respiratory, thoracic and mediastinal disorders",16,3473,0.00461,18,7134,63,10192,0.00868,0.53111,0.0046282904252241824,0.004697013627138301,0.985368745469025,0.0,1.0
19636,macitentan & selexipag,macitentan,selexipag,409623005,Respiratory failure,Respiratory failures (excl neonatal),"Respiratory, thoracic and mediastinal disorders",18,5362,0.00336,63,10192,13,3749,0.00963,0.34891,0.0033682634730538923,0.005481428056256761,0.6144864875512134,3.087081412690642,0.07891623701262826
19647,epoprostenol & macitentan,epoprostenol,macitentan,410429000,Cardiac arrest,Ventricular arrhythmias and cardiac arrest,Cardiac disorders,6,3473,0.00173,6,7134,17,10192,0.00251,0.68924,0.0017306028266512836,0.0013292492631335607,1.3019400308498765,0.10735402055748493,0.7431768915733686
19665,epoprostenol & ambrisentan,epoprostenol,ambrisentan,419099009,Death,Death and sudden death,General disorders and administration site conditions,8,1186,0.00675,75,7134,8,2956,0.01319,0.51175,0.006791171477079796,0.008294194064155092,0.8187861803751507,0.13509388765782435,0.7132079049837563
19669,epoprostenol & macitentan,epoprostenol,macitentan,419099009,Death,Death and sudden death,General disorders and administration site conditions,19,3473,0.00547,75,7134,66,10192,0.01692,0.32329,0.0055008685581933985,0.008204829793424498,0.6704427388124365,2.3582466108015656,0.12462219174091335
19675,macitentan & selexipag,macitentan,selexipag,419099009,Death,Death and sudden death,General disorders and administration site conditions,34,5362,0.00634,66,10192,37,3749,0.01629,0.3892,0.0063813813813813815,0.007443272149154502,0.8573354908306365,0.4633539820153555,0.49606064274088246
19687,epoprostenol & bosentan,epoprostenol,bosentan,419099009,Death,Death and sudden death,General disorders and administration site conditions,8,1036,0.00772,75,7134,45,6235,0.01765,0.43739,0.007782101167315175,0.009057287342440939,0.8592088197146562,0.05881189106631026,0.8083837457330314
19689,selexipag & bosentan,selexipag,bosentan,419099009,Death,Death and sudden death,General disorders and administration site conditions,9,773,0.01164,37,3749,45,6235,0.01702,0.6839,0.011780104712041885,0.00828115532215714,1.4225194738858384,0.6388208249621435,0.42413811631681364
19711,epoprostenol & macitentan,epoprostenol,macitentan,128045006,Cellulitis,Bacterial infections NEC,Infections and infestations,6,3473,0.00173,15,7134,25,10192,0.00454,0.38106,0.0017306028266512836,0.0023140113386555593,0.7478800115373523,0.21848242179621433,0.6401986775356714
19725,macitentan & selexipag,macitentan,selexipag,386617003,Gastrointestinal disorder,Gastrointestinal disorders NEC,Gastrointestinal disorders,15,5362,0.0028,11,10192,8,3749,0.00321,0.87227,0.0028053113895642415,0.0013647464444763683,2.05555500871123,3.753501237479643,0.05269701900403251
19771,epoprostenol & macitentan,epoprostenol,macitentan,5758002,Bacteraemia,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections and infestations,7,3473,0.00202,9,7134,7,10192,0.00195,1.0359,0.002019619157530294,0.0009243212016175621,2.184975476053087,2.213235211584446,0.13683145334423147
19832,macitentan & selexipag,macitentan,selexipag,39898005,Sleep disorder,Sleep disorders NEC,Psychiatric disorders,7,5362,0.00131,12,10192,8,3749,0.00331,0.39577,0.00130718954248366,0.001436678399540263,0.9098692810457516,1.1163642237409953e-09,0.9999733410514511
19845,macitentan & selexipag,macitentan,selexipag,40739000,Dysphagia,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders,10,5362,0.00186,18,10192,7,3749,0.00364,0.51099,0.0018684603886397607,0.0017964932451853982,1.0400597907324365,0.0,1.0
19896,epoprostenol & macitentan,epoprostenol,macitentan,65710008,Acute respiratory failure,Respiratory failures (excl neonatal),"Respiratory, thoracic and mediastinal disorders",7,3473,0.00202,14,7134,42,10192,0.00607,0.33278,0.002019619157530294,0.003242617255356109,0.6228361223312175,1.0437176132111612,0.3069584269400664
19900,macitentan & selexipag,macitentan,selexipag,65710008,Acute respiratory failure,Respiratory failures (excl neonatal),"Respiratory, thoracic and mediastinal disorders",11,5362,0.00205,42,10192,9,3749,0.00651,0.3149,0.0020556905251354887,0.00367170626349892,0.5598733606692538,2.641136765710431,0.10412901235881526
19935,macitentan & selexipag,macitentan,selexipag,89627008,Blood sodium decreased,Mineral and electrolyte analyses,Investigations,8,5362,0.00149,31,10192,6,3749,0.00464,0.32112,0.0014942099364960778,0.0026611047180667433,0.5614998637038234,1.776552739827418,0.18257320051423903
20068,epoprostenol & macitentan,epoprostenol,macitentan,373932008,Feeling hot,Feelings and sensations NEC,General disorders and administration site conditions,7,3473,0.00202,20,7134,19,10192,0.00465,0.43441,0.002019619157530294,0.0022560305431827384,0.8952091378519538,0.005133882771693796,0.9428795579622158
20079,epoprostenol & macitentan,epoprostenol,macitentan,386211005,Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal disorders,14,3473,0.00403,22,7134,29,10192,0.00592,0.68074,0.004047412546978896,0.0029522431259044863,1.3709617990011846,0.7770043182189728,0.37805889441500684
20095,epoprostenol & macitentan,epoprostenol,macitentan,389026000,Ascites,Peritoneal and retroperitoneal disorders,Gastrointestinal disorders,19,3473,0.00547,41,7134,39,10192,0.00956,0.57218,0.0055008685581933985,0.00463875681317407,1.1858497394325418,0.2829026905078569,0.5948049714894357
20103,epoprostenol & bosentan,epoprostenol,bosentan,389026000,Ascites,Peritoneal and retroperitoneal disorders,Gastrointestinal disorders,8,1036,0.00772,41,7134,27,6235,0.01006,0.7674,0.007782101167315175,0.0051123975640929254,1.5222018768596932,0.8199829375396248,0.3651851545410112
20121,epoprostenol & macitentan,epoprostenol,macitentan,439127006,Thrombosis,Non-site specific embolism and thrombosis,Vascular disorders,8,3473,0.0023,8,7134,11,10192,0.0022,1.04545,0.002308802308802309,0.0010978216906454036,2.103075871496924,2.386042838871846,0.12242317282601395
20204,lamotrigine & valproate,lamotrigine,valproate,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,7,716,0.00978,20,3479,9,6879,0.00705,1.38723,0.009873060648801129,0.0028076290057120726,3.5165118428092024,8.022332328496017,0.004620403059361741
20312,amlodipine & sunitinib,amlodipine,sunitinib,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,6,167,0.03593,18,2170,269,14749,0.02638,1.36202,0.037267080745341616,0.017255892255892257,2.159672776851992,2.493381108321093,0.1143258812135823
20540,lamotrigine & valproate,lamotrigine,valproate,271807003,Rash,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders,19,716,0.02654,60,3479,9,6879,0.01854,1.4315,0.027259684361549498,0.006706191077850131,4.064853512985258,31.082744405208604,2.4725973769977312e-08
20706,lamotrigine & valproate,lamotrigine,valproate,279333002,Pruritus,Pruritus NEC,Skin and subcutaneous tissue disorders,10,716,0.01397,19,3479,7,6879,0.00647,2.1592,0.014164305949008499,0.002516453735965931,5.628677271736762,23.706040298898056,1.1222974224638018e-06
20724,lamotrigine & valproate,lamotrigine,valproate,230461009,Headache,Headaches NEC,Nervous system disorders,6,716,0.00838,68,3479,22,6879,0.02269,0.36933,0.008450704225352112,0.00876509544215037,0.9641314553990609,0.0,1.0
20791,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,397974008,Hypoaesthesia,Paraesthesias and dysaesthesias,Nervous system disorders,8,797,0.01004,105,6447,170,12055,0.03016,0.33289,0.010139416983523447,0.015087507543753771,0.6720405576679341,0.920103319071523,0.3374478455156378
21056,risperidone & sertraline,risperidone,sertraline,80313002,Palpitations,Cardiac signs and symptoms NEC,Cardiac disorders,6,159,0.03774,13,1676,48,3717,0.02057,1.83471,0.0392156862745098,0.011440360090022505,3.4278367084538734,6.965211417518133,0.008310961231256766
21063,quetiapine & venlafaxine,quetiapine,venlafaxine,80313002,Palpitations,Cardiac signs and symptoms NEC,Cardiac disorders,9,201,0.04478,10,1163,34,3133,0.01936,2.31302,0.046875,0.010348071495766699,4.529829545454545,16.808672899435717,4.1343916470276026e-05
21178,paroxetine & zolpidem,paroxetine,zolpidem,386806002,Disturbance in attention,Mental impairment (excl dementia and memory loss),Nervous system disorders,6,120,0.05,28,1974,9,473,0.03294,1.51791,0.05263157894736842,0.015352697095435684,3.4281650071123755,6.464328874403664,0.011006119996346146
21437,olanzapine & venlafaxine,olanzapine,venlafaxine,386807006,Memory impairment,Memory loss (excl dementia),Nervous system disorders,7,179,0.03911,13,2685,22,3133,0.01183,3.306,0.040697674418604654,0.006052222030088189,6.724418604651164,22.79096435257435,1.8061287317908688e-06
21843,ibandronate & alendronate,ibandronate,alendronate,14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders,8,1352,0.00592,6,560,67,8233,0.01876,0.31557,0.005952380952380952,0.008371559633027523,0.7110241356816699,0.5673224060796055,0.45132488695416806
21861,everolimus & octreotide,everolimus,octreotide,21522001,Abdominal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders,12,589,0.02037,39,2915,107,5672,0.03199,0.63676,0.02079722703639515,0.017296528847292974,1.202393105576791,0.19774468673055634,0.6565474616278631
21929,ibandronate & alendronate,ibandronate,alendronate,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,13,1352,0.00962,27,560,103,8233,0.06012,0.16001,0.009708737864077669,0.015006348839893801,0.646975354742345,1.8964545227834664,0.16847570819223245
21933,levothyroxine & alendronate,levothyroxine,alendronate,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,6,454,0.01322,657,33683,103,8233,0.03178,0.41598,0.013392857142857142,0.018466323257848187,0.7252584586466165,0.3658002809505213,0.5453024220395597
21943,risedronate & alendronate,risedronate,alendronate,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,9,818,0.011,17,593,103,8233,0.04082,0.26948,0.011124845488257108,0.013783597518952447,0.8071075401730532,0.21038801215051206,0.6464634539460246
21947,zoledronic acid & alendronate,zoledronic acid,alendronate,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,9,522,0.01724,257,24316,103,8233,0.02295,0.7512,0.017543859649122806,0.011183944825872193,1.5686647173489277,1.2629399815826305,0.2610953249898733
21961,ruxolitinib & deferasirox,ruxolitinib,deferasirox,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,7,94,0.07447,40,2378,31,1221,0.04178,1.78243,0.08045977011494253,0.020124716553287982,3.998057309373482,10.76138465898915,0.001036398159169629
21974,levofloxacin & levothyroxine,levofloxacin,levothyroxine,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,7,133,0.05263,129,6447,685,33683,0.03994,1.31773,0.05555555555555555,0.020704039068063892,2.683319683319683,5.418971978276722,0.019919084784648274
22027,ibandronate & alendronate,ibandronate,alendronate,161891005,Back pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,14,1352,0.01036,25,560,78,8233,0.05369,0.19296,0.01046337817638266,0.011852704257767549,0.8827840422598575,0.08931722081675472,0.7650469689383446
22042,zoledronic acid & alendronate,zoledronic acid,alendronate,161891005,Back pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,8,522,0.01533,205,24316,78,8233,0.01782,0.86027,0.01556420233463035,0.008770842372776297,1.7745390548734379,1.8856437160460682,0.1696940866098554
22173,ibandronate & alendronate,ibandronate,alendronate,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,7,1352,0.00518,20,560,45,8233,0.04098,0.1264,0.0052044609665427505,0.0074472960586617785,0.6988390048613096,0.5316556951027197,0.4659116015239192
22175,levothyroxine & alendronate,levothyroxine,alendronate,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,7,454,0.01542,582,33683,45,8233,0.02266,0.68049,0.015659955257270694,0.015185642665116617,1.0312342784967299,0.0,1.0
22192,ibandronate & alendronate,ibandronate,alendronate,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,7,1352,0.00518,8,560,36,8233,0.0186,0.27849,0.0052044609665427505,0.005029146188135787,1.0348597499155119,0.0,1.0
22402,aspirin & clopidogrel,aspirin,clopidogrel,106048009,Dyspnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders",6,166,0.03614,14,625,9,566,0.03794,0.95256,0.0375,0.019691780821917807,1.9043478260869566,1.2510992763947326,0.26334262527857244
22425,ruxolitinib & deferasirox,ruxolitinib,deferasirox,106048009,Dyspnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders",7,94,0.07447,42,2378,12,1221,0.02732,2.72584,0.08045977011494253,0.015232722143864598,5.28203490847169,16.44730695951717,5.002119014010674e-05
22509,zoledronic acid & alendronate,zoledronic acid,alendronate,71620000,Femur fracture,Limb fractures and dislocations,"Injury, poisoning and procedural complications",6,522,0.01149,25,24316,262,8233,0.03282,0.35009,0.011627906976744186,0.008895914698406794,1.3071063933230695,0.16979355693139483,0.680295345345677
22579,levothyroxine & alendronate,levothyroxine,alendronate,38341003,Hypertension,Vascular hypertensive disorders NEC,Vascular disorders,6,454,0.01322,152,33683,155,8233,0.02326,0.56836,0.013392857142857142,0.007378211444639381,1.8151902047463935,1.3985667211214194,0.23696369567643644
22629,levothyroxine & alendronate,levothyroxine,alendronate,64859006,Osteoporosis,Metabolic bone disorders,Musculoskeletal and connective tissue disorders,6,454,0.01322,8,33683,64,8233,0.00801,1.65044,0.013392857142857142,0.0017206767995411529,7.783482142857142,26.35997104026172,2.8335232510447e-07
22652,levothyroxine & alendronate,levothyroxine,alendronate,396275006,Osteoarthritis,Osteoarthropathies,Musculoskeletal and connective tissue disorders,13,454,0.02863,16,33683,173,8233,0.02148,1.33287,0.02947845804988662,0.004529441368897836,6.5081884605694125,50.12703495544983,1.44107823689242e-12
23006,everolimus & lenvatinib,everolimus,lenvatinib,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",6,1375,0.00436,17,2915,32,4611,0.01273,0.3425,0.004382761139517896,0.006553430520262137,0.6687735722484757,0.558166538718863,0.4549999166241646
23370,everolimus & lenvatinib,everolimus,lenvatinib,230461009,Headache,Headaches NEC,Nervous system disorders,25,1375,0.01818,32,2915,106,4611,0.03372,0.53915,0.018518518518518517,0.018678938819707634,0.991411701556629,0.0,1.0
23551,atorvastatin & simvastatin,atorvastatin,simvastatin,387603000,Balance disorder,Coordination and balance disturbances,Nervous system disorders,12,189,0.06349,8,1386,69,1961,0.04076,1.55765,0.06779661016949153,0.023547400611620795,2.8791547435615232,10.358222778247786,0.0012889923748803192
23579,risperidone & sertraline,risperidone,sertraline,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,7,159,0.04403,6,1676,15,3717,0.00761,5.78581,0.046052631578947366,0.00390915860014892,11.780701754385964,41.89607567372222,9.625562822551067e-11
