snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
250249008,Spur cell anaemia,Red cell membrane and enzyme abnormalities,Blood and lymphatic system disorders
363461003,Malignant neoplasm of eye,Ocular neoplasms malignant (excl melanomas),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
58588007,Cutis laxa,Connective tissue disorders,Skin and subcutaneous tissue disorders
41739008,Pericarditis infective,Cardiac infections,Infections and infestations
17796002,Transient acantholytic dermatosis,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
49578007,Electrocardiogram PR shortened,ECG investigations,Investigations
405773007,Kyphoscoliosis,Spine and neck deformities,Musculoskeletal and connective tissue disorders
363445000,Vaginal cancer,Vaginal neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
315296002,Open globe injury,Eye injuries NEC,"Injury, poisoning and procedural complications"
111521006,Corneal degeneration,"Corneal structural change, deposit and degeneration",Eye disorders
41345002,Rickets,Metabolic bone disorders,Musculoskeletal and connective tissue disorders
89966002,Scrotal haematoma,Site specific injuries NEC,"Injury, poisoning and procedural complications"
276513001,Arrhythmia neonatal,Rate and rhythm disorders NEC,Cardiac disorders
26039008,Neurosyphilis,Treponema infections,Infections and infestations
95744009,Conjunctival ulcer,"Conjunctival infections, irritations and inflammations",Eye disorders
85007004,Meralgia paraesthetica,Mononeuropathies,Nervous system disorders
3487004,Respiratory moniliasis,Candida infections,Infections and infestations
126817006,Oesophageal neoplasm,Oesophageal neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
213192008,Skin graft failure,Transplantation complications,"Injury, poisoning and procedural complications"
164917005,Electrocardiogram Q wave abnormal,ECG investigations,Investigations
73125001,Gallbladder empyema,Hepatobiliary and spleen infections,Infections and infestations
290077003,Breast oedema,Breast signs and symptoms,Reproductive system and breast disorders
12010005,Congenital osteodystrophy,Non-site specific bone disorders congenital,"Congenital, familial and genetic disorders"
12010005,Osteodystrophy,Metabolic bone disorders,Musculoskeletal and connective tissue disorders
254938000,Astrocytoma,Nervous system neoplasms unspecified malignancy NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
46849003,Pseudodementia,Dementia NEC,Psychiatric disorders
62224002,Appendiceal abscess,Abdominal and gastrointestinal infections,Infections and infestations
186748004,Parvovirus infection,Parvoviral infections,Infections and infestations
68033004,Tracheostomy malfunction,Respiratory tract and thoracic cavity procedural complications,"Injury, poisoning and procedural complications"
83482000,Body dysmorphic disorder,Obsessive-compulsive disorders and symptoms,Psychiatric disorders
254573006,Oesophageal polyp,Benign neoplasms gastrointestinal (excl oral cavity),Gastrointestinal disorders
395505000,Optic nerve neoplasm,Ocular neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
70405009,Splenic artery aneurysm,Gastrointestinal vascular malformations,Gastrointestinal disorders
167740005,CSF glucose decreased,Cerebrospinal fluid tests (excl microbiology),Investigations
128210009,Thoracic outlet syndrome,Peripheral neuropathies NEC,Nervous system disorders
78152008,Cranial nerve palsies multiple,Cranial nerve disorders NEC,Nervous system disorders
240444009,Lemierre syndrome,Fusobacterium infections,Infections and infestations
193950006,Eyelid sensory disorder,Ocular sensation disorders,Eye disorders
122003,Choroidal haemorrhage,Choroid and vitreous haemorrhages and vascular disorders,Eye disorders
46049004,Reticulocytosis,Red blood cell abnormal findings NEC,Blood and lymphatic system disorders
419642000,Carotid bruit,Vascular auscultatory investigations,Investigations
37849005,Congenital uterine anomaly,Female reproductive tract disorders congenital,"Congenital, familial and genetic disorders"
37439003,Perforation bile duct,Structural and other bile duct disorders,Hepatobiliary disorders
398049005,Mixed connective tissue disease,Connective tissue disorders NEC,Musculoskeletal and connective tissue disorders
192673008,Neurosarcoidosis,Central nervous system inflammatory disorders NEC,Nervous system disorders
201049004,Morphoea,Connective tissue disorders NEC,Musculoskeletal and connective tissue disorders
19577007,Copper deficiency,Copper metabolism disorders,Metabolism and nutrition disorders
93271008,Mitral valve hypoplasia,Cardiac valve disorders congenital,"Congenital, familial and genetic disorders"
187255005,Joint tuberculosis,Tuberculous infections,Infections and infestations
19538009,Verbigeration,Speech and language usage disturbances,Psychiatric disorders
73375005,Laryngeal ulceration,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),"Respiratory, thoracic and mediastinal disorders"
312132001,Eye infection viral,Viral infections NEC,Infections and infestations
26900001,Coronary ostial stenosis,Coronary artery disorders NEC,Cardiac disorders
74669004,Cardiac cirrhosis,Hepatic fibrosis and cirrhosis,Hepatobiliary disorders
75053002,Kawasaki's disease,Arterial infections and inflammations,Vascular disorders
234102003,Lipoedema,Lipid metabolism and deposit disorders NEC,Metabolism and nutrition disorders
302690004,Encopresis,Psychiatric elimination disorders,Psychiatric disorders
129680003,Radioisotope scan abnormal,Imaging procedures NEC,Investigations
66779006,Breast induration,Breast signs and symptoms,Reproductive system and breast disorders
190979003,Selective IgA immunodeficiency,Primary immunodeficiency syndromes,Immune system disorders
195798007,Pharyngotonsillitis,Upper respiratory tract infections,Infections and infestations
95901003,Therapeutic product effect prolonged,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
413342000,Neonatal tachycardia,Rate and rhythm disorders NEC,Cardiac disorders
234062003,Pulmonary vein stenosis,Vascular pulmonary disorders NEC,"Respiratory, thoracic and mediastinal disorders"
235887001,Hepatic rupture,Abdominal and gastrointestinal injuries NEC,"Injury, poisoning and procedural complications"
86597007,Illogical thinking,Thinking disturbances,Psychiatric disorders
386557006,Coma scale,Neurologic diagnostic procedures,Investigations
36989005,Mumps,Mumps viral infections,Infections and infestations
76267008,Pulmonary valve disease,Pulmonary valvular disorders,Cardiac disorders
80599001,Adrenocorticotropic hormone deficiency,Anterior pituitary hypofunction,Endocrine disorders
402693001,Lipomatosis,Lipid metabolism and deposit disorders NEC,Metabolism and nutrition disorders
45536007,Adrenergic syndrome,Autonomic nervous system disorders,Nervous system disorders
11441004,Prostatism,"Prostatic signs, symptoms and disorders NEC",Reproductive system and breast disorders
66522001,Salivary duct obstruction,Salivary gland stenosis and obstruction,Gastrointestinal disorders
225540005,Inflammation of wound,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
196286005,Tooth hypoplasia,Dental disorders congenital,"Congenital, familial and genetic disorders"
131091002,Thyroxine abnormal,Thyroid analyses,Investigations
440299000,Chest wall mass,Musculoskeletal and connective tissue conditions NEC,Musculoskeletal and connective tissue disorders
246890003,Ciliary hyperaemia,"Iris and uveal tract infections, irritations and inflammations",Eye disorders
31194008,Eye infection fungal,Fungal infections NEC,Infections and infestations
70134007,Alkalosis hypochloraemic,Metabolic alkaloses,Metabolism and nutrition disorders
425671009,Neurogenic bowel,Gastrointestinal disorders NEC,Gastrointestinal disorders
425852005,Fracture malunion,Fracture complications,Musculoskeletal and connective tissue disorders
414133009,Diverticulum oesophageal,Diverticula,Gastrointestinal disorders
35964007,Congenital nail disorder,Hair and nail disorders congenital,"Congenital, familial and genetic disorders"
386080007,Vitamin B6 deficiency,Water soluble vitamin deficiencies,Metabolism and nutrition disorders
45261009,Conjunctivitis viral,Viral infections NEC,Infections and infestations
92260003,Benign ovarian tumour,Ovarian neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
34730008,Erythema infectiosum,Parvoviral infections,Infections and infestations
267430007,Renal glycosuria,Nephropathies and tubular disorders NEC,Renal and urinary disorders
204339005,Congenital pulmonary valve disorder,Cardiac valve disorders congenital,"Congenital, familial and genetic disorders"
94264008,Metastases to soft tissue,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
53798001,Hypervitaminosis,Hypervitaminoses NEC,Metabolism and nutrition disorders
95520009,Gastrointestinal stenosis,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal disorders
21560005,Lepromatous leprosy,Leprous infections,Infections and infestations
168448002,Chromosome analysis abnormal,Chromosome analyses,Investigations
191670008,Shared psychotic disorder,Psychotic disorder NEC,Psychiatric disorders
95743003,Conjunctival discolouration,"Conjunctival structural change, deposit and degeneration",Eye disorders
399730005,Rectal adenoma,Lower gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
92564006,Cervix carcinoma stage 0,Cervix neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
28104001,Vascular procedure complication,Cardiac and vascular procedural complications,"Injury, poisoning and procedural complications"
118928003,Abdominal wall disorder,Abdominal wall conditions NEC,Gastrointestinal disorders
3002002,Thyroid haemorrhage,Thyroid disorders NEC,Endocrine disorders
49130001,External ear disorder,External ear disorders NEC,Ear and labyrinth disorders
4659007,Acne fulminans,Acnes,Skin and subcutaneous tissue disorders
309090002,Penile infection,Male reproductive tract infections,Infections and infestations
70759006,Pyoderma,Skin structures and soft tissue infections,Infections and infestations
33168009,Entropion,"Lid, lash and lacrimal structural disorders",Eye disorders
65720003,Posterior capsule opacification,"Lens structural change, deposit and degeneration (excl cataracts)",Eye disorders
126778001,Tongue neoplasm,Lip and oral cavity neoplasms malignancy unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
91445000,Femoral artery aneurysm,Peripheral aneurysms and dissections,Vascular disorders
109671008,Tooth avulsion,Abdominal and gastrointestinal injuries NEC,"Injury, poisoning and procedural complications"
102968003,Visual evoked potentials abnormal,Neurologic diagnostic procedures,Investigations
129618003,Autonomic dysreflexia,Spinal cord injuries NEC,"Injury, poisoning and procedural complications"
39435002,Radial pulse abnormal,Heart rate and pulse investigations,Investigations
230591002,Multifocal motor neuropathy,Chronic polyneuropathies,Nervous system disorders
54767005,Visual pathway disorder,Neurologic visual problems NEC,Nervous system disorders
240626005,Human ehrlichiosis,Rickettsial infectious disorders NEC,Infections and infestations
